Q1_Red Bull Racing,Q1_Alpine,Q2_Alpine,Q1_Mercedes,Q1_Aston Martin,Q2_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q3_Ferrari,Q1_Racing Bulls,Q2_Racing Bulls,Q1_Williams,Q2_Williams,Q3_Williams,Q1_Kick Sauber,Q1_McLaren,Q2_McLaren,Q3_McLaren
64.27584826357035,64.15831698173092,64.29315323521402,64.31503350064233,64.32457024148376,64.28912152368663,64.24402512967559,64.16933406421934,64.19541112677106,64.31090705360879,64.36822214566368,64.38516217844963,64.32138147192046,64.25828257812707,64.1939677446896,64.43186773459618,64.38286722944956,64.3758473792993
14.805380009705388,14.77830770591369,14.809366058713891,14.814405986667097,14.816602691588557,14.808437389192363,14.798049828881034,14.780845394598416,14.786852018097676,14.81345549564952,14.826657526289154,14.830559514820578,14.815868186382886,14.80133390755124,14.786519547647387,14.841317731569106,14.830030893371529,14.828413932228372
123.29698214637668,123.07152806447684,123.33017736413632,123.37214912753971,123.39044295635765,123.32244354377231,123.23593750087353,123.09266155488697,123.14268381367822,123.36423358103247,123.47417811031866,123.5066732850444,123.38432610726832,123.26328681503529,123.13991504967845,123.59626609910923,123.5022710049729,123.4888051953099
28.030023211045545,27.978769051870984,28.037569727660156,28.04711148190205,28.051270354548052,28.035811540553425,28.01614547616046,27.98357348598131,27.994945419426728,28.045311981634768,28.07030649207755,28.07769386268427,28.04987976558988,28.022362999877686,27.994315975641257,28.098061665805375,28.07669305949807,28.073631776481733
38.27833990843567,38.20834624086589,38.288645576965536,38.30167598045267,38.30735541709038,38.286244562767735,38.25938820621647,38.21490726868092,38.23043700016072,38.299218548206625,38.333351533376515,38.34343986905091,38.30545640200879,38.267878976432655,38.22957741959624,38.37125453353363,38.34207315293173,38.337892605845724
79.71682933013506,79.57106351936073,79.7382914735116,79.76542803307427,79.77725578428345,79.73329122429789,79.67736132773649,79.5847272345535,79.61706878742325,79.76031029005259,79.83139418135568,79.85240371664656,79.77330097690373,79.69504384170699,79.61527866179824,79.91032934421406,79.84955745226102,79.8408512241603
20.291287080599318,20.254183548787864,20.296750099089593,20.30365749524543,20.30666815557049,20.295477325283628,20.281240813407067,20.25766153919335,20.26589382514129,20.302354814321802,20.320448655451173,20.32579646614056,20.305661490697275,20.28574175718893,20.265438162851808,20.34054097552678,20.325071972100375,20.32285587074182
37.78556633328185,37.71647372437582,37.79573933249702,37.808601989981355,37.81420831278223,37.79336922759023,37.766858604497315,37.72295028925066,37.73828009980076,37.80617619332031,37.839869769853976,37.849828234033225,37.81233374454064,37.775240069367214,37.73743158498752,37.87728482834643,37.84847911223994,37.84435238313921
213.0783123866819,212.68868910105374,213.1356794110518,213.20821381017657,213.23982868106606,213.12231404425387,212.97281677910394,212.72521139375743,212.81165842838442,213.19453438946397,213.38453737533303,213.44069460538623,213.2292577177028,213.02008108034698,212.80687352975832,213.59552634003688,213.43308671108127,213.40981548458444
22.318349864714605,22.277539757356976,22.324358628845744,22.331956061352003,22.335267481184133,22.32295870724454,22.307299993647348,22.28136519269708,22.29041986908328,22.33052324496623,22.350424628014025,22.35630667529381,22.334160252315428,22.312250573551182,22.28991868695732,22.372524134430705,22.35550980561277,22.353072319746957
129.81581326413675,129.57843920610185,129.85076354527848,129.8949543965507,129.91421543785418,129.84262083032547,129.7515411289761,129.60069004466197,129.65335702882703,129.88662034741685,130.0023777506782,130.03659097683146,129.9077751850166,129.78033642792275,129.65044187758724,130.1309206499344,130.0319559439398,130.01777818384994
51.734365095666476,51.63976648033736,51.74829352672066,51.76590452168443,51.773580456671425,51.74504848147035,51.70875128158434,51.648633913177946,51.66962282753866,51.76258322568981,51.80871501512502,51.82234971407581,51.77101387881601,51.72022682120689,51.668461077712095,51.85994209689079,51.82050255479817,51.814852415587325
46.42457717665047,46.33968774754396,46.43707605474094,46.452879534562044,46.459767645309284,46.43416406667666,46.40159225190166,46.34764506604017,46.36647977045368,46.44989912179517,46.491296147059984,46.50353144041958,46.45746448972761,46.411889992559395,46.36543725752472,46.53726550623878,46.50187386545406,46.4968036317058
27.363272815349774,27.313237839286558,27.37063982291079,27.379954607364994,27.384014552872713,27.368923457815413,27.34972519025996,27.31792799028267,27.329029419452468,27.37819791182551,27.40259787764012,27.40980952480072,27.38265704186574,27.355794817688775,27.32841494825152,27.429692838819165,27.408832527728237,27.40584406347648
96.78505311365018,98.42565103093682,96.54349614266346,96.23807347280433,96.10495183133764,96.59977407506949,97.22926648707869,98.27186556801826,97.90786056576076,96.2956738010156,95.49562279176325,95.25915993632225,96.14946328924384,97.03024934143696,97.92800847531828,94.60720552094847,95.29119471456056,95.3891835338427
