Q1_Red Bull Racing,Q1_Alpine,Q1_Mercedes,Q2_Mercedes,Q3_Mercedes,Q1_Aston Martin,Q2_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q3_Ferrari,Q1_Racing Bulls,Q1_Williams,Q2_Williams,Q1_Kick Sauber,Q1_Haas F1 Team,Q1_McLaren,Q2_McLaren,Q3_McLaren
103.07644573200213,102.9996057246896,103.04871917925283,103.31516929068391,103.1589649356708,103.20128571355201,103.04854836509915,103.15239537133706,103.32841957807233,103.17747662785162,102.71788116276494,103.18153508115223,103.61961912851783,102.82935883891443,103.13812874199361,103.62118324038109,103.3163383616557,103.07769562169733
33.34824183861784,33.32338185117318,33.33927148870066,33.42547588477612,33.374939212016116,33.38863122017139,33.3392162253312,33.37281376600737,33.42976273988759,33.380928285303455,33.232235724080596,33.3822413135244,33.52397430260291,33.26830200942288,33.368198094578375,33.52448033849025,33.4258541133929,33.348646214453
26.92849153269222,26.908417252175525,26.921248032631297,26.990857529918486,26.95004949058935,26.961105699413196,26.92120340781463,26.94833320656076,26.99431913794362,26.95488562888076,26.834817338766953,26.955945890753043,27.07039437096904,26.863940633007047,26.9446060814669,27.07080299170454,26.991162947102254,26.928818063587187
24.244433181995447,24.22635977628414,24.23791166730095,24.300582938870804,24.26384238169541,24.273796578934792,24.23787149039819,24.262297165788965,24.303699516134884,24.268196484914398,24.160095827534207,24.269151066721832,24.372192060607745,24.186316299645938,24.25894153648497,24.372559952663835,24.30085791403954,24.244727166396842
59.2834602208228,59.23926640443216,59.267513551578446,59.42075985794534,59.33092037424004,59.355260776494106,59.267415309404754,59.32714195034234,59.42838063764654,59.34156720203109,59.077235139757846,59.34390138374542,59.59586135394946,59.14135048960898,59.31893663100715,59.59676093835762,59.42143223825454,59.284179083270004
43.24477081664671,43.21253330125529,43.23313839751677,43.344925080896104,43.27939098641764,43.29714627791279,43.233066734016205,43.276634786376405,43.35048411659332,43.28715739590237,43.09433836324271,43.28886008250174,43.47265419853099,43.14110779268918,43.2706493537986,43.47331040721747,43.345415553825035,43.24529519632466
88.36304789039826,88.29717622400699,88.33927909733382,88.56769543231297,88.43378809000319,88.47006789084537,88.3391326656332,88.42815628223451,88.57905433948861,88.44965737547471,88.05566575301174,88.45313651467876,88.82868731469404,88.15123081801136,88.4159261083771,88.83002816119392,88.5686976270776,88.36411936761311
50.887328580438805,50.84939379647858,50.87364038824188,51.00518289802096,50.92806710029623,50.94896024726626,50.87355605980099,50.924823802795004,51.01172437045267,50.93720605106131,50.71031051464797,50.93920964989684,51.15548531506778,50.76534540739499,50.917780577255144,51.156257494140846,51.005760051203254,50.88794563263883
33.34265079496657,33.31779497545597,33.33368194898526,33.41987189234845,33.36934369238128,33.383033404984815,33.33362669488099,33.367218602717,33.42415802874166,33.37533176156262,33.226664129588016,33.37664456964603,33.518353796292615,33.26272436818948,33.36260370513452,33.51885974733983,33.420250057552835,33.343055103005554
20.373372947598625,20.358185286487924,20.367892710133162,20.42055738491473,20.38968311913925,20.39804794958212,20.36785894819627,20.38838462477105,20.42317634451024,20.39334201139161,20.302501570117784,20.394144177027954,20.4807328211744,20.32453547180495,20.385564782097447,20.481041972640583,20.42078845534735,20.3736199920977
88.1338406629414,88.06813986279332,88.11013352437266,88.33795736422985,88.2043973676873,88.24058306140256,88.10998747250511,88.19878016841255,88.34928680723829,88.22022548940299,87.82725585214291,88.22369560397664,88.59827225292207,87.92257302841398,88.18658171872386,88.599609621365,88.3389569593752,88.13490936082354
15.10732072671442,15.096058729592983,15.103257005637715,15.142309063190396,15.119415090922189,15.125617803484943,15.103231970391448,15.118452227731495,15.144251081465086,15.122128242981262,15.054767983842453,15.122723067096786,15.186930521688396,15.071106624503841,15.1163612500726,15.187159764551893,15.142480407186554,15.107503915845086
37.414659313510015,37.38676794924322,37.40459513718258,37.50131112377346,37.4446121108748,37.45997369494046,37.40453313510909,37.44222749225855,37.50612070936711,37.45133147970182,37.284507646903535,37.45280461594075,37.61182024037828,37.32497178247365,37.43704899514762,37.61238798126283,37.50173547282634,37.41511299812055
251.80693221314618,251.61921865380475,251.73919861854006,252.39011342910453,252.00851956297095,252.11190560011516,251.73878133418657,251.99247067974545,252.42248274679423,252.0537420421225,250.93098966837988,252.06365649607847,253.13385831799087,251.2033200872463,251.95761852567193,253.13767930936422,252.3929693694007,251.8099855866643
13.625009200359045,13.614852216392933,13.621344206541835,13.656564524762075,13.63591688058807,13.641510990706138,13.62132162772275,13.635048492336523,13.658315994618079,13.638363821540338,13.57761286727748,13.638900282253303,13.696807781231314,13.592348380831368,13.633162678805775,13.697014531069954,13.656719056698307,13.625174415200036
54.125675836018786,54.08532697360408,54.11111656017749,54.251030119045026,54.16900685734288,54.19122959395793,54.11102686527727,54.16555716418554,54.257987875056415,54.17872738896415,53.937392766079824,54.18085849201282,54.41089742057943,53.99592994709508,54.15806572470456,54.411718739272374,54.251644000868396,54.12633215593746
50.694318511130746,51.397521022129354,50.94805848587259,48.50963618520677,49.93914274716451,49.55184349623596,50.94962169423218,49.99926421639941,48.388375975989334,49.76973271091299,53.97572769186115,49.732591712992985,45.72345880280284,52.95553802074653,50.129825494679835,45.70914480898375,48.498937414193506,50.68288012632479
