EventName,driver_1_name,driver_1_position,driver_1_gap,total_time_driver_1,avg_laptime_driver_1,iqr_driver_1,number_pit_driver_1,total_duration_pit_driver_1,driver_2_name,driver_2_position,driver_2_gap,total_time_driver_2,avg_laptime_driver_2,iqr_driver_2,number_pit_driver_2,total_duration_pit_driver_2,fastest_driver_1,fastest_driver_2,safety_car_lap,fastest_lap
Bahrain GP Race ,Max Verstappen,6,-10.693 s,1:34:29.953,1:38.405,1.656 s,2,00:54.585 s,Yuki Tsunoda,9,+10.693 s,1:34:39.588,1:38.600,1.305 s,2,00:51.264 s,37/57,16/57,4/57,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
Bahrain GP Race ,Pierre Gasly,7,-16.804 s,1:34:33.387,1:38.269,1.299 s,2,00:49.991 s,Jack Doohan,14,+16.804 s,1:34:47.069,1:38.766,1.189 s,2,00:49.884 s,46/57,7/57,4/57,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
Bahrain GP Race ,Kimi Antonelli,11,+31.742 s,1:34:44.087,1:38.638,1.528 s,3,01:14.006 s,George Russell,3,-31.742 s,1:34:16.126,1:37.844,1.097 s,2,00:48.144 s,6/56,46/56,4/56,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Bahrain GP Race ,Fernando Alonso,17,-5.146 s,1:34:54.025,1:38.754,1.718 s,2,00:49.672 s,Lance Stroll,18,+5.146 s,1:34:56.119,1:39.262,1.305 s,2,00:49.203 s,35/57,18/57,4/57,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Bahrain GP Race ,Charles Leclerc,4,-8.318 s,1:34:17.787,1:37.723,1.756 s,2,00:49.043 s,Lewis Hamilton,5,+8.318 s,1:34:22.869,1:38.026,1.809 s,2,00:48.690 s,40/57,13/57,4/57,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Bahrain GP Race ,Alexander Albon,12,-12 laps,1:34:41.649,1:38.703,1.922 s,2,00:51.384 s,Carlos Sainz,20,+12 laps,1:15:53.863,1:39.236,1.876 s,3,01:26.031 s,43/57,10/57,4/57,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bahrain GP Race ,Nico Hulkenberg,15,-13.444 s,1:34:43.425,1:39.247,1.679 s,2,00:48.520 s,Gabriel Bortoleto,19,+13.444 s,1:34:57.044,1:39.339,1.474 s,2,00:49.539 s,32/57,21/57,4/57,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bahrain GP Race ,Liam Lawson,13,-6.89 s,1:34:40.392,1:39.088,1.859 s,2,00:49.433 s,Isack Hadjar,16,+6.89 s,1:34:47.636,1:38.893,1.466 s,2,00:49.905 s,34/57,19/57,4/57,"[1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Bahrain GP Race ,Esteban Ocon,8,-3.35 s,1:34:37.523,1:38.419,1.299 s,2,00:49.708 s,Ollie Bearman,10,+3.35 s,1:34:40.155,1:38.730,1.698 s,2,00:49.457 s,30/57,23/57,4/57,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
Bahrain GP Race ,Lando Norris,2,+16.259 s,1:34:15.278,1:37.864,1.182 s,2,00:53.857 s,Oscar Piastri,1,-16.259 s,1:34:00.750,1:37.567,1.818 s,2,00:49.398 s,14/57,39/57,4/57,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
