EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Miami GP Sprint Quali Q1,Max Verstappen,01:27.953,29.191,33.569,25.193,219 kp/h,190 kp/h,283 kp/h,58%,17%,25%,Yuki Tsunoda,01:29.246,29.622,33.788,25.836,218 kp/h,190 kp/h,282 kp/h,55%,17%,28%,-1.293,1.293,57 kp/h,341 kp/h,3/20,17/20
Miami GP Sprint Quali Q1,Pierre Gasly,01:28.345,29.237,33.838,25.270,220 kp/h,190 kp/h,285 kp/h,56%,17%,27%,Jack Doohan,01:29.171,29.756,34.222,25.193,217 kp/h,187 kp/h,285 kp/h,56%,16%,28%,-0.826,0.826,66 kp/h,340 kp/h,8/20,12/20
Miami GP Sprint Quali Q1,Kimi Antonelli,01:27.858,29.393,33.542,24.923,219 kp/h,192 kp/h,283 kp/h,56%,16%,28%,George Russell,01:27.688,29.087,33.586,25.015,220 kp/h,191 kp/h,285 kp/h,60%,18%,22%,0.17,-0.17,66 kp/h,340 kp/h,11/20,9/20
Miami GP Sprint Quali Q1,Fernando Alonso,01:28.455,29.483,33.820,25.152,219 kp/h,191 kp/h,285 kp/h,57%,18%,25%,Lance Stroll,01:29.028,29.750,34.146,25.132,219 kp/h,189 kp/h,286 kp/h,56%,19%,25%,-0.573,0.573,61 kp/h,341 kp/h,7/20,13/20
Miami GP Sprint Quali Q1,Charles Leclerc,01:28.325,29.444,33.783,25.098,No data,191 kp/h,285 kp/h,56%,16%,28%,Lewis Hamilton,01:28.231,29.309,33.816,25.106,220 kp/h,189 kp/h,285 kp/h,57%,20%,23%,0.094,-0.094,64 kp/h,340 kp/h,10/20,10/20
Miami GP Sprint Quali Q1,Alexander Albon,01:27.859,29.421,33.470,24.968,223 kp/h,191 kp/h,287 kp/h,54%,18%,28%,Carlos Sainz,01:27.899,29.274,33.740,24.885,223 kp/h,191 kp/h,287 kp/h,54%,21%,25%,-0.04,0.04,65 kp/h,342 kp/h,11/20,9/20
Miami GP Sprint Quali Q1,Nico Hulkenberg,01:28.542,29.445,33.929,25.168,221 kp/h,192 kp/h,293 kp/h,54%,20%,26%,Gabriel Bortoleto,01:29.312,29.487,33.865,25.960,221 kp/h,192 kp/h,285 kp/h,57%,20%,23%,-0.77,0.77,55 kp/h,346 kp/h,7/20,13/20
Miami GP Sprint Quali Q1,Liam Lawson,01:28.914,29.615,34.001,25.298,207 kp/h,189 kp/h,283 kp/h,56%,16%,28%,Isack Hadjar,01:28.394,29.310,33.766,25.318,217 kp/h,189 kp/h,284 kp/h,57%,17%,26%,0.52,-0.52,66 kp/h,337 kp/h,15/20,5/20
Miami GP Sprint Quali Q1,Esteban Ocon,01:28.303,29.329,33.829,25.145,221 kp/h,192 kp/h,285 kp/h,56%,22%,22%,Oliver Bearman,01:29.825,30.124,34.423,25.278,213 kp/h,191 kp/h,283 kp/h,55%,22%,23%,-1.522,1.522,63 kp/h,338 kp/h,5/20,15/20
Miami GP Sprint Quali Q1,Lando Norris,01:27.890,29.312,33.521,25.057,220 kp/h,188 kp/h,284 kp/h,56%,17%,27%,Oscar Piastri,01:27.951,29.400,33.610,24.941,223 kp/h,191 kp/h,288 kp/h,55%,18%,27%,-0.061,0.061,67 kp/h,342 kp/h,9/20,11/20
